id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
442781,Spacious Lofty and Modern Apartment,2200572,Edouard,,Central & Western,22.287561258562153,114.13367098073061,Entire home/apt,1248,2,5,2013-12-31,0.07,1,0
459463,Wifi Causeway Bay petit home by MTR,2283777,Jennifer,,Wan Chai,22.277319578639567,114.18291418692479,Entire home/apt,377,1,59,2018-06-25,1.12,18,362
463214,Awesome flat in Hong Kong with maid,2296168,Arnaud,,Central & Western,22.28752550317257,114.14308102312573,Private room,895,3,18,2018-01-03,0.24,1,311
468754,3 Bedrooms Apt Near Times Square,2254012,Chloe,,Wan Chai,22.280734942699418,114.17837796447907,Entire home/apt,1099,3,167,2018-06-30,2.21,1,271
470946,Condo@waterfront+1br+Sleep3+next to MTR station,2336819,Han,,Eastern,22.283598436204297,114.22202539090101,Entire home/apt,871,1,147,2018-07-31,1.94,1,155
481671,Cozy apart in the heart of SW!,2379932,Emilie,,Central & Western,22.285707257321345,114.15166416918291,Entire home/apt,298,15,0,,,1,0
498484,Cosy apartment in central Kowloon,2460679,Richard,,Yau Tsim Mong,22.321934230042046,114.1621267164637,Entire home/apt,542,4,51,2018-07-03,0.72,1,344
501379,"Quiet, rural outlying island flat",2474113,Graham,,Islands,22.236966150798608,114.11059291179151,Entire home/apt,581,5,30,2017-11-09,0.53,2,0
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28355880508644,114.14835420908396,Entire home/apt,871,1,155,2018-08-04,2.06,1,313
528287,The  best area in  HONG KONG !,745577,Tiziana,,Yau Tsim Mong,22.298635481568365,114.17304370736625,Private room,597,2,236,2018-07-31,3.15,1,338
529501,Huge 3BDR + 2Toilets 6-10ppl Jordan,2601704,Eddy,,Yau Tsim Mong,22.308219498246793,114.1671524528675,Entire home/apt,1177,2,116,2018-07-22,1.62,4,276
534047,Artist Loft with Sea View in Hong Kong,2172438,Joy,,Southern,22.238905985625905,114.15269859106796,Entire home/apt,785,3,8,2018-06-01,0.44,2,253
534106,Cosy apartment in the heart of HK!,2625423,Stephanie,,Central & Western,22.284027104179305,114.14191794513408,Entire home/apt,997,1,12,2015-12-30,0.19,1,0
545658,Great studio in Kennedy Town!,2679225,Adam,,Central & Western,22.282758617379134,114.12848062627451,Entire home/apt,754,5,2,2015-02-15,0.05,1,0
548840,"GreatStudio NewDecor, Nice Area 3rd",808933,J,,Central & Western,22.28504795806837,114.14211445891348,Entire home/apt,542,3,144,2018-07-29,1.98,7,305
554138,bright and (quiet) artist studio,635161,Cedric,,Central & Western,22.283779380395412,114.14759549910048,Entire home/apt,871,2,5,2017-12-27,0.08,1,18
560337,High floor/Bay view in Kowloon !!,2755168,Sonia,,Kowloon City,22.31360587561748,114.18962791886328,Private room,283,2,191,2018-07-09,2.57,1,352
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.279727740216195,114.18622914781122,Entire home/apt,597,90,0,,,17,228
562683,Standard Mixed Dorm Bed#1,2767794,Check Inn HK,,Wan Chai,22.27787450170807,114.17678408710516,Shared room,283,1,84,2018-07-26,1.19,20,351
562775,Standard Mixed Dorm Bed#2,2767794,Check Inn HK,,Wan Chai,22.27930597856336,114.17662697068499,Shared room,283,1,140,2018-08-11,4.07,20,347
562795,Standard Mixed Dorm Bed#3,2767794,Check Inn HK,,Wan Chai,22.27938854786732,114.1777694165389,Shared room,283,1,34,2018-08-03,0.99,20,360
